,song_name,song_popularity,song_duration_ms,danceability,energy,speechiness,artist_name,album_names,artists_path,fat_burning,genre
9885,Mighty River,51,162857,0.912,0.311,0.185,KAWALA,D.I.L.Y.D.,kawala,31.120517211476717,alternative
9886,Do This For Me,48,254540,0.456,0.35600000000000004,0.0353,Lily Moore,Do This For Me,lily-moore,32.29430836128867,undefined
9887,Love the Lie (Acoustic),48,189261,0.855,0.417,0.128,Call Me Loop,Love the Lie (Acoustic),call-me-loop,37.615094787729554,electronic
9888,Release,37,208000,0.5379999999999999,0.368,0.109,Only Girl,Release,only-girl,29.444585935510275,electronic
9889,Summer Rain,41,245070,0.589,0.5,0.0703,Carmody,Summer Rain,carmody,41.69960578679362,alternative
9890,One Last Song - Acoustic,51,209216,0.589,0.515,0.0467,Gorgon City,One Last Song (Acoustic),gorgon-city,36.08925249488679,electronic
9891,"Cry Me a River - Recorded at Metropolis Studios, London",32,301144,0.665,0.252,0.0323,Nina Nesbitt,Spotify Singles,nina-nesbitt,43.14768198572208,pop
9892,Don't Cry,55,142044,0.85,0.639,0.24,Octavian,SPACEMAN,octavian,33.046959652129885,hip-hop
9893,Divine Plateau,30,157437,0.73,0.334,0.0365,Jane Deezy,Divine Plateau,jane-deezy,26.173533184689592,undefined
9894,What About Me (feat. Sosamann),87,216961,0.784,0.44,0.0401,Lil Wayne,Tha Carter V,lil-wayne,41.493207751765986,hip-hop
9895,Actin' Different,33,228000,0.843,0.64,0.27,B Wise,Area Famous,b-wise,52.83113206220538,alternative
9896,Hurt Feelings,81,245640,0.69,0.462,0.13,Mac Miller,Swimming,mac-miller,44.2145782324936,hip-hop
9897,Wavves,38,141187,0.708,0.5479999999999999,0.0702,Lil Rae,Wavves,lil-rae,27.707559112449978,hip-hop
9898,SAN MARCOS,72,286706,0.515,0.505,0.0294,BROCKHAMPTON,iridescence,brockhampton,45.69312619041295,hip-hop
9899,"Peace $igns, Gang $igns",22,207979,0.7290000000000001,0.589,0.128,MELODOWNZ,"Peace $igns, Gang $igns",melodownz,42.830073014598234,hip-hop
9900,Talented,50,183000,0.637,0.36,0.0537,Anfa Rose,Talented,anfa-rose,28.507567862326933,hip-hop
9901,Duffman,51,176727,0.609,0.5579999999999999,0.279,Kaiit,Live From Her Room,kaiit,32.22461074766136,hip-hop
9902,Selfish,20,224080,0.68,0.494,0.0589,Hvncoq,Selfish,hvncoq,41.10409697363631,hip-hop
9903,Selfish,20,224080,0.68,0.494,0.0589,Vargas & Lagola,Selfish,vargas-and-lagola,41.10409697363631,alternative
9904,Work Out,72,243180,0.6779999999999999,0.659,0.312,Chance the Rapper,Work Out,chance-the-rapper,50.801107484426005,hip-hop
9905,What's the Use?,59,288640,0.759,0.4920000000000001,0.12,Mac Miller,What's the Use?,mac-miller,56.41930660350089,hip-hop
9906,You Broke,33,202971,0.7609999999999999,0.61,0.0498,Lauren.,You Broke,lauren,43.479582474621445,hip-hop
9907,Likkel Rider,33,250285,0.7020000000000001,0.413,0.0863,Cult Shφtta,Likkel Rider,cult-shφtta,43.60372666634375,
9908,Chewing Gum,66,263869,0.622,0.515,0.145,Blood Orange,Negro Swan,blood-orange,46.87731781896817,alternative
9909,Driving,42,210697,0.863,0.34600000000000003,0.336,JNTHN STEIN,Driving,jnthn-stein,39.80142044877494,electronic
9910,Wasted,25,190666,0.7070000000000001,0.982,0.106,MAX BLACK,Bored / Wasted,max-black,50.31724147629174,alternative
9911,Wasted,25,190666,0.7070000000000001,0.982,0.106,Tiësto,Wasted,tiësto,50.31724147629174,
9912,Mood,37,206957,0.8540000000000001,0.682,0.198,SWIDT,The Most Electrifying,swidt,49.66898152994723,hip-hop
9913,Mood,37,206957,0.8540000000000001,0.682,0.198,Carlie Hanson,Mood,carlie-hanson,49.66898152994723,pop
9914,Rose In Harlem,64,222828,0.5429999999999999,0.5670000000000001,0.129,Teyana Taylor,K.T.S.E.,teyana-taylor,38.64618778798423,electronic
9915,Butterfly Baby,39,186598,0.799,0.439,0.111,Lonely Playboy,Butterfly Baby,lonely-playboy,36.09454304548842,hip-hop
9916,tokyo glo remix,46,174545,0.752,0.758,0.0814,bbno$,tokyo glo remix,bbnos,41.18113182783367,hip-hop
9917,Red Pill,43,174620,0.78,0.448,0.0446,GALLVS,Red Pill,gallvs,33.50474133957491,
9918,Oneway,33,181150,0.669,0.505,0.0893,Pillow T.,Oneway,pillow-t,33.22923583887101,hip-hop
9919,Lights Out,30,226051,0.603,0.471,0.0443,Omijah,Lights Out,omijah,37.93364999554693,hip-hop
9920,My Boy (feat. J. Cole) - Freestyle,72,269657,0.8140000000000001,0.737,0.259,Wale,Free Lunch,wale,65.34876962667713,alternative
